state,district,n_wells,mean_water_level_mbgl,min_mbgl,max_mbgl,gw_stress_score
Andaman and Nicobar,NORTH MIDDLE ANDAMAN,34,0.76,0.06,2.27,0.025
Andaman and Nicobar,SOUTH,64,1.15,0.05,4.45,0.038
Andhra Pradesh,ANANTAPUR,141,3.35,-0.09,15.24,0.112
Andhra Pradesh,CHITTOOR,100,6.32,0.17,39.45,0.211
Andhra Pradesh,CUDDAPAH,76,6.05,0.16,37.62,0.202
Andhra Pradesh,EAST,84,2.87,0.08,22.48,0.096
Andhra Pradesh,GUNTUR,87,2.69,0.4,11.98,0.090
Andhra Pradesh,KRISHNA,96,6.89,0.01,34.61,0.230
Andhra Pradesh,KURNOOL,46,3.55,0.05,40.5,0.118
Andhra Pradesh,NELLORE,54,3.22,0.23,17.67,0.107
Andhra Pradesh,PRAKASAM,91,5.49,-0.54,34.04,0.183
Andhra Pradesh,SRIKAKULAM,47,2.05,0.25,5.7,0.068
Andhra Pradesh,VISAKHAPATNAM,61,3.05,0.15,10.11,0.102
Andhra Pradesh,VIZIANAGARAM,55,2.77,0.0,19.25,0.092
Andhra Pradesh,WEST,57,4.25,0.31,31.25,0.142
Arunachal Pradesh,CHANGLANG,4,4.64,2.67,6.02,0.155
Arunachal Pradesh,EAST,1,6.98,6.98,6.98,0.233
Arunachal Pradesh,LOHIT,1,4.4,4.4,4.4,0.147
Arunachal Pradesh,TIRAP,3,5.74,4.33,7.3,0.191
Assam,BARPETA,5,1.83,1.11,2.76,0.061
Assam,BONGAIGAON,7,2.73,1.11,7.0,0.091
Assam,CACHAR,11,1.53,0.25,3.15,0.051
Assam,DARRANG,12,2.29,0.74,3.87,0.076
Assam,DHEMAJI,9,1.93,0.1,7.9,0.064
Assam,DHUBRI,5,7.16,1.13,15.7,0.239
Assam,DIBRUGARH,4,3.95,3.4,4.76,0.132
Assam,GOALPARA,6,2.31,1.53,4.16,0.077
Assam,GOLAGHAT,3,3.14,2.8,3.5,0.105
Assam,HAILAKANDI,2,1.18,0.68,1.68,0.039
Assam,JORHAT,3,1.68,1.08,2.36,0.056
Assam,KAMRUP,15,2.2,0.89,3.93,0.073
Assam,KARBI,16,4.63,0.84,18.32,0.154
Assam,KARIMGANJ,2,0.83,0.71,0.95,0.028
Assam,KOKRAJHAR,11,3.43,2.32,6.96,0.114
Assam,LAKHIMPUR,11,1.98,0.99,3.64,0.066
Assam,MARIGAON,4,2.95,1.98,4.7,0.098
Assam,NAGAON,16,2.74,0.49,6.25,0.091
Assam,NALBARI,3,1.92,1.35,2.33,0.064
Assam,SIBSAGAR,4,1.89,0.46,3.78,0.063
Assam,SONITPUR,13,3.22,1.12,7.6,0.107
Assam,TINSUKIA,8,2.98,1.56,5.27,0.099
Bihar,ARARIA,9,2.39,1.56,3.43,0.080
Bihar,AURANGABAD,12,4.46,1.2,11.3,0.149
Bihar,BANKA,15,4.0,2.13,6.85,0.133
Bihar,BEGUSARAI,24,4.84,3.45,6.49,0.161
Bihar,BHAGALPUR,17,4.14,1.1,10.31,0.138
Bihar,BHOJPUR,33,4.81,1.75,8.21,0.160
Bihar,BUXAR,26,4.56,1.0,10.02,0.152
Bihar,DARBHANGA,12,2.71,0.87,4.32,0.090
Bihar,GAYA,19,4.94,2.1,13.0,0.165
Bihar,GOPALGANJ,19,2.66,1.3,4.03,0.089
Bihar,JAMUI,15,4.65,1.87,8.13,0.155
Bihar,JEHANABAD,19,3.53,1.35,6.94,0.118
Bihar,KAIMUR,10,7.15,1.56,13.48,0.238
Bihar,KATIHAR,16,3.43,2.33,5.3,0.114
Bihar,KHAGARIA,16,4.39,2.95,6.89,0.146
Bihar,KISHANGANJ,8,2.66,1.52,8.32,0.089
Bihar,LAKHISARAI,9,4.24,0.92,7.1,0.141
Bihar,MADHEPURA,16,4.05,2.31,6.8,0.135
Bihar,MADHUBANI,23,2.33,0.33,5.37,0.078
Bihar,MUNGER,12,3.95,2.23,6.23,0.132
Bihar,MUZAFFARPUR,27,2.89,0.49,5.1,0.096
Bihar,NALANDA,34,4.69,1.2,9.67,0.156
Bihar,NAWADA,10,4.4,2.2,6.4,0.147
Bihar,PASHCHIM,13,2.43,1.23,3.5,0.081
Bihar,PATNA,46,4.76,1.1,14.3,0.159
Bihar,PURBA,29,2.48,0.4,4.72,0.083
Bihar,PURNIA,16,2.93,1.25,4.72,0.098
Bihar,ROHTAS,14,3.36,0.74,8.94,0.112
Bihar,SAHARSA,16,3.54,2.19,7.19,0.118
Bihar,SAMASTIPUR,21,4.1,1.89,5.93,0.137
Bihar,SARAN,27,3.01,0.45,5.25,0.100
Bihar,SEIKHPURA,7,5.92,3.65,7.7,0.197
Bihar,SHEOHAR,5,2.76,1.63,3.4,0.092
Bihar,SITAMARHI,18,1.89,0.73,3.4,0.063
Bihar,SIWAN,17,3.01,1.5,5.3,0.100
Bihar,SUPAUL,22,2.54,1.45,4.6,0.085
Bihar,VAISHALI,26,3.11,0.91,4.53,0.104
Chandigarh,CHANDIGARH,19,22.35,2.51,64.44,0.745
Chhattisgarh,BASTAR,27,3.12,1.55,10.81,0.104
Chhattisgarh,BILASPUR,113,3.89,0.95,40.0,0.130
Chhattisgarh,DHAMTARI,42,4.48,0.95,15.7,0.149
Chhattisgarh,DURG,119,3.91,0.96,21.24,0.130
Chhattisgarh,JANJGIR,59,3.08,0.8,10.73,0.103
Chhattisgarh,JASHPUR,74,4.18,0.8,15.2,0.139
Chhattisgarh,KANKER,10,2.44,1.55,3.35,0.081
Chhattisgarh,KAWARDHA,16,7.61,1.0,19.89,0.254
Chhattisgarh,KORBA,76,4.1,0.65,58.0,0.137
Chhattisgarh,KORIYA,55,4.46,1.48,21.82,0.149
Chhattisgarh,MAHASAMUND,45,6.68,1.6,17.4,0.223
Chhattisgarh,RAIGARH,107,4.53,0.2,22.95,0.151
Chhattisgarh,RAIPUR,120,3.63,1.0,20.1,0.121
Chhattisgarh,RAJNANDGAON,56,3.55,1.05,10.1,0.118
Chhattisgarh,SURGUJA,102,4.82,0.78,12.3,0.161
Delhi,CENTRAL,1,1.95,1.95,1.95,0.065
Delhi,EAST,8,12.85,3.08,26.43,0.428
Delhi,NEW,8,9.9,3.7,22.0,0.330
Delhi,NORTH,29,7.62,0.62,28.16,0.254
Delhi,SOUTH,31,20.38,0.84,66.75,0.679
Delhi,WEST,8,9.05,1.99,35.44,0.302
Goa,NORTH,32,4.83,1.3,12.93,0.161
Goa,SOUTH,29,5.5,1.22,11.5,0.183
Gujarat,Ahmedabad,24,13.73,1.27,76.29,0.458
Gujarat,Amreli,35,8.41,1.98,25.15,0.280
Gujarat,Anand,21,9.01,0.82,25.8,0.300
Gujarat,Banaskantha,29,36.71,4.37,178.71,1.081
Gujarat,Bharuch,32,3.81,-1.5,9.46,0.127
Gujarat,Bhavnagar,33,9.77,1.49,50.58,0.326
Gujarat,DAMAN,4,2.2,1.45,2.7,0.073
Gujarat,DIU,3,5.72,4.6,6.37,0.191
Gujarat,Dohad,26,4.44,0.44,10.04,0.148
Gujarat,Gandhinagar,22,89.93,4.52,191.17,1.439
Gujarat,Jamnagar,47,3.92,0.48,11.43,0.131
Gujarat,Junagadh,54,6.68,0.94,21.76,0.223
Gujarat,Kachchh,49,11.98,0.26,102.41,0.399
Gujarat,Kheda,21,7.76,0.36,26.77,0.259
Gujarat,Mahesana,41,32.11,0.53,174.5,1.027
Gujarat,Narmada,19,5.94,1.0,26.76,0.198
Gujarat,Navsari,19,3.36,0.9,6.18,0.112
Gujarat,Panchmahals,35,5.94,-0.59,21.02,0.198
Gujarat,Patan,19,57.28,0.12,148.3,1.259
Gujarat,Porbandar,30,3.97,0.7,8.89,0.132
Gujarat,Rajkot,47,4.76,0.56,10.41,0.159
Gujarat,Sabarkantha,38,9.91,1.22,50.46,0.330
Gujarat,Surat,42,4.6,1.28,13.7,0.153
Gujarat,Surendranagar,32,4.55,0.31,15.5,0.152
Gujarat,The,23,2.18,0.2,7.3,0.073
Gujarat,Vadodara,40,9.32,0.78,35.8,0.311
Gujarat,Valsad,16,4.12,0.55,10.75,0.137
Haryana,AMBALA,15,18.96,1.05,45.72,0.632
Haryana,BHIWANI,22,9.52,2.1,26.92,0.317
Haryana,CHARKHI,5,5.66,1.34,18.25,0.189
Haryana,FARIDABAD,4,17.86,2.53,29.75,0.595
Haryana,FATEHABAD,12,17.03,0.11,56.5,0.568
Haryana,GURGAON,7,25.39,10.17,38.95,0.846
Haryana,HISAR,20,6.51,1.55,21.85,0.217
Haryana,JHAJJAR,12,1.81,0.69,3.29,0.060
Haryana,JIND,22,17.43,1.63,53.07,0.581
Haryana,KAITHAL,19,27.35,2.66,52.64,0.912
Haryana,KARNAL,31,20.54,4.82,36.65,0.685
Haryana,KURUKSHETRA,11,39.21,20.84,45.76,1.107
Haryana,MAHENDRAGARH,1,3.27,3.27,3.27,0.109
Haryana,MEWAT,2,1.68,0.49,2.87,0.056
Haryana,PALWAL,9,12.85,0.62,28.33,0.428
Haryana,PANCHKULA,18,10.88,0.86,32.25,0.363
Haryana,PANIPAT,22,20.26,1.82,38.49,0.675
Haryana,REWARI,3,37.02,12.1,77.95,1.084
Haryana,ROHTAK,8,2.38,0.4,8.69,0.079
Haryana,SIRSA,27,13.2,2.11,49.16,0.440
Haryana,SONIPAT,28,10.06,0.25,37.75,0.335
Haryana,YAMUNANAGAR,26,15.77,0.29,42.28,0.526
Himachal Pradesh,HAMIRPUR,1,2.02,2.02,2.02,0.067
Himachal Pradesh,KANGRA,22,3.81,0.54,10.05,0.127
Himachal Pradesh,KULLU,1,6.82,6.82,6.82,0.227
Himachal Pradesh,MANDI,6,3.61,1.91,4.56,0.120
Himachal Pradesh,SIRMAUR,13,12.2,1.79,36.25,0.407
Himachal Pradesh,SOLAN,10,13.5,4.85,29.32,0.450
Himachal Pradesh,UNA,31,6.7,0.75,29.1,0.223
Jammu and Kashmir,BARAMULA,16,2.59,0.7,6.8,0.086
Jammu and Kashmir,JAMMU,111,5.44,0.3,32.86,0.181
Jammu and Kashmir,KATHUA,51,4.62,0.45,23.15,0.154
Jammu and Kashmir,KUPWARA,22,2.93,0.5,7.2,0.098
Jammu and Kashmir,PULWAMA,2,7.79,0.35,15.24,0.260
Jammu and Kashmir,RAJAURI,34,2.28,0.6,5.42,0.076
Jammu and Kashmir,SRINAGAR,1,2.8,2.8,2.8,0.093
