state,st_census_code,district,dt_census_code,improved_water_pct,improved_sanitation_pct,clean_fuel_pct,electricity_pct,pop_under_15_pct,female_literacy_pct,women_schooling_10yr_pct,children_stunted_pct,children_wasted_pct,children_underweight_pct,children_anaemic_pct,women_anaemic_pct,pregnant_anaemic_pct,diarrhoea_prev_pct,institutional_births_pct,fully_vaccinated_pct,child_marriage_pct,hygienic_menstruation_pct,teen_pregnancy_pct
Andaman & Nicobar Island,35,Nicobar,1,98.8,83.5,56.9,97.9,23,87.5,53.5,21.6,15.7,24.6,37.7,38.3,38.4,5.7,97.8,64.2,11.4,100,1.8
Andaman & Nicobar Island,35,North & Middle Andaman,2,92.2,86.4,61.3,93.2,19.8,84,41,27,27,42.8,30.4,62.1,62.5,4.5,97.7,0,15.4,100,3.8
Andaman & Nicobar Island,35,South Andaman,3,97.9,89.3,91.9,99.6,21,86.7,57.5,21.1,12.6,17.4,43.4,57.7,57.6,6,99.5,76.3,17.1,98.2,2.8
Andhra Pradesh,28,Anantapur,12,98.8,71.3,86.4,99.6,24.3,63.6,31.3,36,19.3,40.6,55.8,50.5,50.3,2.5,94.7,81.8,37.3,95,13.6
Andhra Pradesh,28,Chittoor,13,98.5,74.6,86.6,99.7,22.6,69.3,40.3,27.1,14.8,27.9,54.9,51.8,51.8,4.8,97.1,66.6,28.1,94.7,19.7
Andhra Pradesh,28,East Godavari,4,97.9,77.7,80.3,98.8,20.5,77.9,43.2,23.1,14.3,22.4,66.8,63,63.2,13.3,96.6,59,26,71,6.2
Andhra Pradesh,28,Guntur,7,99.3,83.4,91.7,99.2,22.4,68.5,32.6,23.8,17.8,26.9,59.3,59.5,59.8,10,98.6,76.2,35.4,88,20.7
Andhra Pradesh,28,Krishna,6,94.4,79.1,89.8,99.6,20.4,76.9,46.2,29.8,14.3,21.1,65.7,60.3,60.4,7.8,98.9,90,25.3,92.6,9.6
Andhra Pradesh,28,Kurnool,11,97.9,73.5,78.1,99.9,25.9,57,33.4,50.5,16.7,46.3,70.8,58.6,58.3,4.5,88.5,67,36.9,78.9,12.4
Andhra Pradesh,28,Prakasam,8,98.6,78.4,90.8,99.3,23.1,62.8,34.5,22.6,8.7,24.7,62.6,60.4,60.6,7.9,97.4,51.9,37.3,86.6,16.4
Andhra Pradesh,28,Sri Potti Sriramulu Nellore,9,95.6,81.8,84.6,99.1,20.8,70.5,38.7,29.2,17.2,27.8,67.5,59.4,59.6,8.9,97,65.3,23.8,84,14.9
Andhra Pradesh,28,Srikakulam,1,87.7,71.6,74.7,99.9,20.7,64.3,42.5,19.7,19.5,21.4,59.6,62.6,62.8,11.9,97.9,82.8,25.4,78,5.5
Andhra Pradesh,28,Visakhapatnam,3,91.8,77.8,72.9,99.6,21.4,69.5,46,31,21.5,33.5,72.6,58,58.6,8.1,95.3,76.5,25.4,85.7,9.5
Andhra Pradesh,28,Vizianagaram,2,93.1,61.7,60.3,99.5,20.6,58.3,37.6,36.4,19.2,32.2,66.7,64,64.6,7.5,99,76.8,33.7,72.5,12.7
Andhra Pradesh,28,West Godavari,5,99.1,80.8,86.8,99.3,21.5,77,46.5,31.4,11.7,22.5,62.3,63,63.1,2.7,98.7,80,22.1,84.4,13.4
Andhra Pradesh,28,Y.S.R.,10,99.9,85.4,94.3,99.8,24.1,63.8,40,34.4,14.1,26.7,60.6,56.1,56.1,5.9,99.4,83,25.6,92.5,10.9
Arunachal Pradesh,12,Anjaw,16,86.6,86.8,29,96.4,23.2,66.4,28.8,23.6,14.3,16,57.1,35.9,36.9,9.3,78,93,21.8,89,5.1
Arunachal Pradesh,12,Changlang,9,81.8,82.3,34.1,95.2,28.7,74,30.5,26.3,16.3,25,65.3,57.2,57.1,1.3,75.1,70.9,16.8,89.1,9
Arunachal Pradesh,12,Dibang Valley ,13,100,95,49.3,79.2,22.1,76.6,43.2,16.9,18.1,16,88.6,62.9,64.3,3.9,85.5,90.7,20.7,88.6,0.7
Arunachal Pradesh,12,East Kameng ,3,93.6,75.6,49.5,86.3,31.2,59.1,31.8,35.7,15.8,14.2,51.7,26.2,26.9,7.3,76,60.8,26.5,85.4,8.1
Arunachal Pradesh,12,East Siang ,7,97.3,83.9,52.4,97.3,23.1,81.9,55.6,24.6,8.6,10.3,51.5,35.2,35.3,8.5,90.8,48.8,14.9,87.8,4.6
Arunachal Pradesh,12,Kra Daadi ,,99.8,89.3,78.3,99.7,33.5,53.5,27.4,28.8,9.4,14.5,62,22.6,24.3,6,73.5,63.6,24.8,89.6,12.9
Arunachal Pradesh,12,Kurung Kumey ,12,99.8,78.3,57.3,99.2,31,76,34.7,29.2,15.1,13.9,62.4,34.8,35.5,4.7,69.2,71.4,19.8,96.1,7.7
Arunachal Pradesh,12,Lohit ,15,96.9,83.7,63.9,98.9,27.7,70.9,37.3,24.5,12.7,12.9,52.5,47.2,47.6,7.5,90.2,74,20,91.4,5.4
Arunachal Pradesh,12,Longding ,,62.5,83.5,22.4,97.4,29.9,70.2,27.7,15.8,20.6,13.8,38.4,34.1,35,0.5,64.5,52.7,7.9,92,2.2
Arunachal Pradesh,12,Lower Dibang Valley ,14,99.5,89.9,57.4,84.4,24.5,80,51.9,14.3,7.6,9.7,51.5,34.6,35.3,2.8,90.1,73.8,13.8,96,1.6
Arunachal Pradesh,12,Lower Subansiri ,11,98.1,82.8,60.8,97.8,22,73.4,49.9,30.7,11.5,8.1,52.4,40.5,41.1,6.4,89.8,66.5,16,92.4,2
Arunachal Pradesh,12,Namsai ,,93.5,75.1,28.7,96.5,30.3,62.6,22.2,28.7,12.4,17.7,59.2,58.6,58.8,1.7,63.6,67.2,26.7,93,11.3
Arunachal Pradesh,12,Papum Pare ,4,92.9,75.7,81.3,98.7,30.5,77,50.5,29.7,9,15.6,53.4,38.4,39.4,4.6,88,60.7,25.4,95.4,6
Arunachal Pradesh,12,Siang ,,96.3,91.2,27.6,99.6,21.8,85.3,50.6,21.3,12.1,8.8,24.9,23.9,24.4,2.7,81.1,60.3,10,98.1,0.5
Arunachal Pradesh,12,Tawang ,1,99.8,81.7,88.1,99.7,27.3,56.6,39.2,30.4,7.1,9,89.6,59.1,59.2,14.8,84.2,67.5,11.9,88.4,1.4
Arunachal Pradesh,12,Tirap ,10,93.8,86.7,50.4,98.8,26.8,72.8,40.2,38.6,13.8,16,48.4,32,32.4,7.6,70.2,66.3,12,88.4,4
Arunachal Pradesh,12,Upper Siang ,8,99.8,91.8,36.3,99.5,25.8,70.9,34.8,30.4,12.5,12,51,29.2,29.4,6.2,76,61.4,17.1,91.5,7.1
Arunachal Pradesh,12,Upper Subansiri ,5,94.7,80.9,32.8,87,27.3,62.3,31.8,36.8,12.2,19.2,60.4,36.7,36.6,5.9,77,68.5,26.7,92.7,13.2
Arunachal Pradesh,12,West Kameng ,2,99.8,88.9,88.9,97.5,21.7,71.1,43.6,24.2,23.2,13.4,66.6,37.4,38.4,10,93.6,56.2,12.5,90.3,1.4
Arunachal Pradesh,12,West Siang ,6,99.1,87.7,57.1,88.2,23.7,76.1,46.3,24.5,15.1,16.2,45.6,30.5,31.2,3.1,84.6,55.4,18.9,94.2,4.7
Assam,18,Baksa,25,89.8,68.9,35.2,98.1,26.5,74.8,27.8,41.2,17,34,78.6,73.6,73.8,5.8,89.9,70.5,24.9,67,12.3
Assam,18,Barpeta,4,98.1,63.7,38.7,88.9,30.1,74.8,31.7,29.8,19.5,26.2,63.5,64.8,65.6,1.7,87.6,54.6,40.1,61.5,14.2
Assam,18,Biswanath,,76.2,76.6,35,91.1,28.7,69.2,23,42.7,27.1,41,79.8,64.4,65.1,3.7,84.3,66.2,25.3,70.9,9
Assam,18,Bongaigaon,20,95.3,72.5,49.8,97,28.9,75.8,28.6,46.2,20.2,35.3,77.2,70.6,71.4,4.4,84.5,67.9,41.7,69,15.4
Assam,18,Cachar,17,43.8,57.6,43,81.7,30.9,77.2,25.8,28.7,30.7,38.2,61.8,57.4,58.2,4.2,79.2,70.4,29.9,57.8,8.5
Assam,18,Charaideo,,96.4,75.9,27.3,91.7,25.8,71.9,26.2,39,23.5,34.8,69.7,72.3,72.6,9.8,88.2,74,22.6,68.7,3.8
Assam,18,Chirang,21,92.1,77.1,44.5,97.8,28,71.5,23,42.7,19.5,39.7,70.4,65.2,65.7,6.3,83.7,71.1,30.9,63.5,13.7
Assam,18,Darrang,26,99.7,67.9,30.1,89.5,29.2,75.6,27.5,42,27,33.1,66.8,70.4,71.4,2.1,84.4,57.1,42.8,62.2,16.1
Assam,18,Dhemaji,9,95.3,70.8,21.6,95,30.6,81.5,43.6,37.2,18.3,25.7,73.1,62.9,62.9,0.9,87.3,89.7,32,74.7,10.8
Assam,18,Dhubri,2,96.7,61.8,40.7,92.5,32.3,69.5,20.4,48.5,21.5,37.8,73.1,63.2,63,9.8,64.2,71.6,50.8,48.8,22.4
Assam,18,Dibrugarh,11,98.1,75.3,44.7,94.4,24,76.6,33.7,27.3,20.6,32,66.4,70.8,72,5.8,93.1,83.8,23,79.8,4.8
Assam,18,Dima Hasao,16,50.2,83.8,48.2,95.9,27.7,87.7,42.4,30.6,23.6,21.7,73.1,60.5,61.1,7,89.5,63.6,16.5,79.1,5.4
Assam,18,Goalpara,3,90.7,75.3,36.3,89.6,30,74.1,23.4,38.9,24.3,35.4,60.7,64.9,65.5,7.8,92.3,70.3,41.8,64.5,13.3
Assam,18,Golaghat,14,93.7,73.1,33.1,96.4,24.3,75.1,27.9,26.3,19.2,25.5,75.1,77.2,77.2,8,90.4,72.4,20.7,70.6,9.5
Assam,18,Hailakandi,19,41.2,60,35.2,91.2,33.7,82.2,25.3,42.9,22.2,42.4,59.5,61.4,61.5,5.1,83,68.6,32.9,56.1,10.4
Assam,18,Hojai,,99.9,63.1,52,96.3,27.5,83.2,23.1,39.3,12.7,28.4,56.8,56.3,56.6,4.4,82.1,55.5,30.9,64.6,15.6
Assam,18,Jorhat,13,85.9,80.4,48.3,95.1,21.6,85.1,42.9,38.7,15.5,33.2,74.1,71.8,72.4,6.3,96.5,69.2,24.9,76.7,12.9
Assam,18,Kamrup,22,92.1,68.7,57.4,94.8,25.6,79.6,39.2,22.6,14.8,19.7,72.9,71.5,71.7,5,85,63.6,21.9,62.1,15.7
Assam,18,Kamrup Metropolitan,23,87.2,65.2,85.1,99.2,20,86,49.1,25.4,18.2,25,80.4,74.6,75.2,5.2,89.1,53.6,21.9,86.3,10.1
Assam,18,Karbi Anglong,15,79.6,75.2,33.4,97,29.9,78.8,30.3,31.6,17.2,28.2,67.5,59,59.5,2.2,74.9,64.3,26.1,77.6,9.1
Assam,18,Karimganj,18,62.3,61.5,39.6,87.1,32.3,80.7,19.6,29.1,48,52.9,64.1,52,52.5,7.6,76.4,75.1,27.7,59.8,9.9
Assam,18,Kokrajhar,1,87.3,72.2,43.3,93.9,29.5,73.7,27.5,34.6,20.5,35.2,74.7,59.5,59.5,3.4,81.9,51.1,36.2,72.3,11.3
Assam,18,Lakhimpur,8,81.2,74.2,36.1,97.2,28.1,83.9,42.1,38.5,18.2,34.4,69.3,65.4,66.3,3.7,96.2,69,36.3,79.7,8.2
Assam,18,Majuli,,98.6,65.6,19.3,93.5,26.2,83.4,41.7,35.4,14.1,22.2,73,67.8,68.1,3.6,90.3,78.6,25.5,75.4,10.4
Assam,18,Morigaon,5,94.6,62.3,37.6,89.5,32.1,78.7,24.5,43.2,16.1,30.5,53.3,64.2,64.9,5.4,88.3,73.4,39.1,69.1,11.6
Assam,18,Nagaon,6,96.1,66.1,38.6,94.5,31.1,78.4,22.1,38.9,19.4,32.4,68.6,61,61,8.7,83.7,58.2,42.6,58.4,15
Assam,18,Nalbari,24,99.5,68.1,51.1,94.7,24.5,83.9,41.6,27.5,15.4,26.7,71,66.4,66.9,3.6,91.8,65.5,28.1,74,8.6
Assam,18,Sivasagar,12,92.7,82.3,45.5,97,23.8,86.6,47.1,26.1,21.1,25.9,67.5,67.6,68,5.1,95.3,77.6,27.9,75.7,12.8
Assam,18,Sonitpur,7,82.9,72.2,45.8,88.2,26.6,76.9,24.3,36.7,13.1,21.9,69.4,63.6,64.3,4.3,83.5,70.9,24,63.4,6.5
Assam,18,South Salmara Mancachar,,98.2,59,28.5,79.5,36.7,63.5,20.9,38.9,18.2,27.9,69.6,57.1,58.2,5.4,71.7,65.8,44.7,60.6,22
Assam,18,Tinsukia,10,96.8,66.7,40.9,95.7,25.4,70.5,25.6,32.8,21.5,32.2,66.4,72.8,72.9,4.9,82.6,75,19.8,74.6,6.1
Assam,18,Udalguri,27,82.3,73.8,34,95.5,27.2,70,23.8,33.8,21.3,32.5,77.6,81.5,82.2,3.2,86.2,38.3,32,61.8,4.7
Assam,18,West Karbi Anglong,,44.7,76.7,17.7,94.7,31.7,73.9,21.7,40.9,23.2,31.1,79,57.9,58.8,6.8,72.5,47.9,21.3,77.3,6
Bihar,10,Araria,7,100,32.2,15.2,96.2,40.5,43.7,16.8,49.9,23.9,47.8,75.8,67.9,67.7,16.3,66.2,61.6,52,36.4,13.3
Bihar,10,Arwal,38,99.9,43.4,29.3,97.4,36.6,62.5,32.9,45.6,36.8,52.9,65.8,66.9,66.6,13.4,79.2,84.2,37.5,54.5,8.8
