State,District,Indicator No.,Indicator,Unit,NFHS 6,NFHS 6 Small Sample,NFHS 5,NFHS 5 Small Sample,Delta (6-5)
Andaman and Nicobar Islands,Nicobar,1,Population below age 5 years (%),%,4.5,,5.3,,-0.8
Andaman and Nicobar Islands,Nicobar,2,Population below age 15 years (%),%,21.1,,23.0,,-1.9
Andaman and Nicobar Islands,Nicobar,3,Population age 60 years and above (%),%,12.4,,12.3,,0.1
Andaman and Nicobar Islands,Nicobar,4,Population living in households with electricity (%),%,99.8,,97.9,,1.9
Andaman and Nicobar Islands,Nicobar,5,Population living in households with an improved drinking-water source1 (%),%,98.0,,98.8,,-0.8
Andaman and Nicobar Islands,Nicobar,6,Households using iodized salt (%),%,100.0,,99.4,,0.6
Andaman and Nicobar Islands,Nicobar,7,Households with any usual member covered under a health insurance/financing scheme (%),%,10.0,,3.4,,6.6
Andaman and Nicobar Islands,Nicobar,8,Households with any usual member having a bank account/post office account (%),%,98.5,,96.7,,1.8
Andaman and Nicobar Islands,Nicobar,9,Female population age 6 years and above who ever attended school (%),%,81.6,,78.0,,3.6
Andaman and Nicobar Islands,Nicobar,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),%,13.9,,13.8,,0.1
Andaman and Nicobar Islands,Nicobar,11,Children age 2-4 years who attended pre-school (%),%,74.7,,77.7,,-3.0
Andaman and Nicobar Islands,Nicobar,12,Women with 10 or more years of schooling (%),%,59.0,,53.5,,5.5
Andaman and Nicobar Islands,Nicobar,13,Men with 10 or more years of schooling (%),%,56.0,,36.0,,20.0
Andaman and Nicobar Islands,Nicobar,14,Women who have ever used the internet (%),%,51.5,,14.6,,36.9
Andaman and Nicobar Islands,Nicobar,15,Men who have ever used the internet (%),%,58.0,,13.3,,44.7
Andaman and Nicobar Islands,Nicobar,16,Women age 20-24 years married before age 18 years (%),%,8.3,,11.4,,-3.1
Andaman and Nicobar Islands,Nicobar,17,Men age 25-29 years married before age 21 years (%),%,,Y,,Y,
Andaman and Nicobar Islands,Nicobar,18,Three or more births in the 5 years preceding the survey (%),%,1.3,,0.0,,1.3
Andaman and Nicobar Islands,Nicobar,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),%,8.4,,1.8,,6.6
Andaman and Nicobar Islands,Nicobar,20,Any method2 (%),%,76.2,,65.3,,10.9
Andaman and Nicobar Islands,Nicobar,21,Any modern method2 (%),%,70.8,,57.2,,13.6
Andaman and Nicobar Islands,Nicobar,22,Any traditional method (%),%,5.4,,8.1,,-2.7
Andaman and Nicobar Islands,Nicobar,23,Female sterilization (%),%,58.1,,46.4,,11.7
Andaman and Nicobar Islands,Nicobar,24,Male sterilization (%),%,0.0,,0.0,,0.0
Andaman and Nicobar Islands,Nicobar,25,Total unmet need3 (%),%,6.7,,9.5,,-2.8
Andaman and Nicobar Islands,Nicobar,26,Unmet need for spacing3 (%),%,3.3,,3.3,,0.0
Andaman and Nicobar Islands,Nicobar,27,Unmet need for limiting3 (%),%,3.4,,6.2,,-2.8
Andaman and Nicobar Islands,Nicobar,28,Mothers who had an antenatal check-up in the first trimester (%),%,44.4,,62.8,,-18.4
Andaman and Nicobar Islands,Nicobar,29,Mothers who had any antenatal care visits (%),%,64.1,,78.6,,-14.5
Andaman and Nicobar Islands,Nicobar,30,Mothers who had at least 4 antenatal care visits (%),%,40.0,,71.7,,-31.7
Andaman and Nicobar Islands,Nicobar,31,Mothers whose last birth was protected against neonatal tetanus4 (%),%,76.5,,78.0,,-1.5
Andaman and Nicobar Islands,Nicobar,32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),%,69.9,,72.6,,-2.7
Andaman and Nicobar Islands,Nicobar,33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),%,18.1,,43.9,,-25.8
Andaman and Nicobar Islands,Nicobar,34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),%,96.9,,97.9,,-1.0
Andaman and Nicobar Islands,Nicobar,35,Institutional births (%),%,99.3,,97.8,,1.5
Andaman and Nicobar Islands,Nicobar,36,Institutional births in public facility (%),%,97.7,,96.7,,1.0
Andaman and Nicobar Islands,Nicobar,37,Births attended by skilled health personnel5 (%),%,100.0,,98.6,,1.4
Andaman and Nicobar Islands,Nicobar,38,Births delivered by caesarean section (%),%,12.1,,11.5,,0.6
Andaman and Nicobar Islands,Nicobar,39,Births in a private health facility that were delivered by caesarean section (%),%,,Y,,Y,
Andaman and Nicobar Islands,Nicobar,40,Births in a public health facility that were delivered by caesarean section (%),%,10.8,,10.7,,0.1
Andaman and Nicobar Islands,Nicobar,41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,,68.9,,85.1,,-16.2
Andaman and Nicobar Islands,Nicobar,42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),%,,Y,,Y,
Andaman and Nicobar Islands,Nicobar,43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,,92.3,,92.5,,-0.2
Andaman and Nicobar Islands,Nicobar,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's,,76.7,Y,64.2,Y,12.5
Andaman and Nicobar Islands,Nicobar,45,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),%,,Y,94.1,Y,
Andaman and Nicobar Islands,Nicobar,46,Children age 12-23 months who have received any vaccine (%),%,90.1,Y,80.4,Y,9.7
Andaman and Nicobar Islands,Nicobar,47,Children age 12-23 months who have received BCG (%),%,90.1,Y,80.4,Y,9.7
Andaman and Nicobar Islands,Nicobar,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),%,76.7,Y,69.1,Y,7.6
Andaman and Nicobar Islands,Nicobar,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),%,81.1,Y,71.9,Y,9.2
Andaman and Nicobar Islands,Nicobar,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),%,81.1,Y,67.3,Y,13.8
Andaman and Nicobar Islands,Nicobar,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),%,85.7,Y,56.3,Y,29.4
Andaman and Nicobar Islands,Nicobar,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),%,86.2,Y,44.5,Y,41.7
Andaman and Nicobar Islands,Nicobar,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),%,77.6,Y,3.1,Y,74.5
Andaman and Nicobar Islands,Nicobar,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),%,86.2,,94.9,,-8.7
Andaman and Nicobar Islands,Nicobar,55,Children age 12-23 months who received most of their vaccinations in a public health facility (%),%,100.0,Y,100.0,Y,0.0
Andaman and Nicobar Islands,Nicobar,56,Children age 12-23 months who received most of their vaccinations in a private health facility (%),%,0.0,Y,0.0,Y,0.0
Andaman and Nicobar Islands,Nicobar,57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),%,3.5,,5.7,,-2.2
Andaman and Nicobar Islands,Nicobar,58,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),%,1.2,,1.8,,-0.6
Andaman and Nicobar Islands,Nicobar,59,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or,,97.1,Y,85.7,Y,11.4
Andaman and Nicobar Islands,Nicobar,60,Children under age 3 years breastfed within one hour of birth9 (%),%,73.6,,55.4,,18.2
Andaman and Nicobar Islands,Nicobar,61,Children under age 6 months exclusively breastfed10 (%),%,,Y,,Y,
Andaman and Nicobar Islands,Nicobar,62,Children under age 6 months currently breastfeeding10 (%),%,,Y,,Y,
Andaman and Nicobar Islands,Nicobar,63,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain water/other,,,Y,,Y,
Andaman and Nicobar Islands,Nicobar,64,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),%,,Y,,Y,
Andaman and Nicobar Islands,Nicobar,65,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,17.7,Y,19.4,Y,-1.7
Andaman and Nicobar Islands,Nicobar,66,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,,Y,,Y,
Andaman and Nicobar Islands,Nicobar,67,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",%,17.0,Y,18.7,Y,-1.7
Andaman and Nicobar Islands,Nicobar,68,Children under 5 years who are stunted (height-for-age)12 (%),%,38.6,,21.6,,17.0
Andaman and Nicobar Islands,Nicobar,69,Children under 5 years who are wasted (weight-for-height)12 (%),%,9.6,,15.7,,-6.1
Andaman and Nicobar Islands,Nicobar,70,Children under 5 years who are severely wasted (weight-for-height)13 (%),%,7.8,,7.8,,0.0
Andaman and Nicobar Islands,Nicobar,71,Children under 5 years who are underweight (weight-for-age)12 (%),%,23.1,,24.6,,-1.5
Andaman and Nicobar Islands,Nicobar,72,Children under 5 years who are overweight (weight-for-height)14 (%),%,11.6,,1.5,,10.1
Andaman and Nicobar Islands,Nicobar,73,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)15 (%),%,5.0,,8.2,,-3.2
Andaman and Nicobar Islands,Nicobar,74,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),%,46.5,,39.1,,7.4
Andaman and Nicobar Islands,Nicobar,75,Blood sugar level - high (141-160 mg/dl)16 (%),%,5.9,,7.4,,-1.5
Andaman and Nicobar Islands,Nicobar,76,Blood sugar level - very high (>160 mg/dl)16 (%),%,8.2,,3.9,,4.3
Andaman and Nicobar Islands,Nicobar,77,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),%,14.4,,13.1,,1.3
Andaman and Nicobar Islands,Nicobar,78,Blood sugar level - high (141-160 mg/dl)16 (%),%,6.4,,9.6,,-3.2
Andaman and Nicobar Islands,Nicobar,79,Blood sugar level - very high (>160 mg/dl)16 (%),%,7.1,,4.4,,2.7
Andaman and Nicobar Islands,Nicobar,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),%,13.8,,15.4,,-1.6
Andaman and Nicobar Islands,Nicobar,81,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),%,20.6,,23.2,,-2.6
Andaman and Nicobar Islands,Nicobar,82,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm,,14.1,,8.5,,5.6
Andaman and Nicobar Islands,Nicobar,83,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to,,38.2,,35.4,,2.8
