rank,district,state,present_risk,future_risk_ssp585_2050,risk_escalation,capacity_gap,present_ac,priority_tier,present_dominant_hazard,people_at_risk_present,people_at_risk_2050,gap_explanation
1,Hydrabad,Telangana,4.4,3.65,-0.75,1.82,0.5,critical,drought,1926153,1597832,Risk declining from 4.4 to 3.6 by 2050 (SSP5-8.5). Capacity gap 1.8 — high incoming stress meets low coping.
2,Karbi Anglong West,Assam,5.64,3.59,-2.05,1.79,0.5,critical,flood,285590,181785,Risk declining from 5.6 to 3.6 by 2050 (SSP5-8.5). Capacity gap 1.8 — high incoming stress meets low coping.
3,Darjiling,West Bengal,4.36,2.96,-1.4,1.48,0.5,critical,flood,1002272,680442,Risk declining from 4.4 to 3.0 by 2050 (SSP5-8.5). Capacity gap 1.5 — high incoming stress meets low coping.
4,Kalimpong,West Bengal,4.25,2.94,-1.31,1.47,0.5,critical,flood,180817,125083,Risk declining from 4.2 to 2.9 by 2050 (SSP5-8.5). Capacity gap 1.5 — high incoming stress meets low coping.
5,Alipurduar,West Bengal,6.01,2.78,-3.23,1.39,0.5,critical,flood,1221291,564923,Risk declining from 6.0 to 2.8 by 2050 (SSP5-8.5). Capacity gap 1.4 — high incoming stress meets low coping.
6,West Jaintia Hills,Meghalaya,2.96,4.18,1.22,1.3,0.69,critical,cold wave,133442,188441,Risk rising from 3.0 to 4.2 by 2050 (SSP5-8.5). Capacity gap 1.3 — high incoming stress meets low coping.
7,Tenkasi,Kerala,4.28,2.49,-1.79,1.25,0.5,critical,flood,924831,538044,Risk declining from 4.3 to 2.5 by 2050 (SSP5-8.5). Capacity gap 1.2 — high incoming stress meets low coping.
8,Jiribam,Manipur,6.21,2.28,-3.93,1.14,0.5,critical,flood,9113,3346,Risk declining from 6.2 to 2.3 by 2050 (SSP5-8.5). Capacity gap 1.1 — high incoming stress meets low coping.
9,Cachar,Assam,7.08,3.18,-3.9,1.09,0.658,critical,flood,1969531,884620,Risk declining from 7.1 to 3.2 by 2050 (SSP5-8.5). Capacity gap 1.1 — high incoming stress meets low coping.
10,East Jaintia Hills,Meghalaya,3.12,4.0,0.88,1.08,0.731,critical,flood,54851,70321,Risk rising from 3.1 to 4.0 by 2050 (SSP5-8.5). Capacity gap 1.1 — high incoming stress meets low coping.
11,Ahmadnagar,Maharashtra,3.97,2.11,-1.86,1.05,0.5,critical,wet-bulb,2765533,1469842,Risk declining from 4.0 to 2.1 by 2050 (SSP5-8.5). Capacity gap 1.1 — high incoming stress meets low coping.
12,Ahmadabad,Gujarat,8.29,2.05,-6.24,1.03,0.5,critical,flood,8007420,1980122,Risk declining from 8.3 to 2.0 by 2050 (SSP5-8.5). Capacity gap 1.0 — high incoming stress meets low coping.
13,Narayanpet,Telangana,3.39,1.98,-1.41,0.99,0.5,critical,wet-bulb,320272,187062,Risk declining from 3.4 to 2.0 by 2050 (SSP5-8.5). Capacity gap 1.0 — high incoming stress meets low coping.
14,Gaurella Pendra Marwahi,Chhattisgarh,4.1,1.94,-2.15,0.97,0.5,critical,wet-bulb,201525,95356,Risk declining from 4.1 to 1.9 by 2050 (SSP5-8.5). Capacity gap 1.0 — high incoming stress meets low coping.
