state,district,lgd_code,total_blocks,total_villages_mis,total_ihhl,villages_entry_started,toilet_single_pit,toilet_twin_pit,toilet_septic_with_soak,toilet_septic_without_soak,toilet_others,toilet_total,verification_certificates
Rajasthan,AJMER,86,9,724,330292,720,176312,69745,81856,2007,25,329945,0
Rajasthan,ALWAR,87,9,1090,317541,1085,141021,157927,12247,2656,2944,316795,6
Rajasthan,Balotra,775,9,912,210249,910,139474,38980,17034,3322,10544,209354,1
Rajasthan,BANSWARA,88,11,1497,318023,1439,15506,285360,14550,0,329,315745,3
Rajasthan,BARAN,89,8,1097,187220,1079,13951,161229,2862,6744,2163,186949,0
Rajasthan,BARMER,90,12,1718,294675,1710,195237,89359,1901,335,6351,293183,0
Rajasthan,Beawar,774,5,693,228555,690,151050,61275,14000,1424,165,227914,1
Rajasthan,BHARATPUR,91,7,754,186884,754,92189,75618,16437,1154,375,185773,6
Rajasthan,BHILWARA,92,14,1738,501902,1715,32888,260510,203401,135,2710,499644,0
Rajasthan,BIKANER,93,9,855,319640,821,94127,224263,1222,0,22,319634,3
Rajasthan,BUNDI,94,5,875,208097,867,105722,73616,27956,871,27,208192,1
Rajasthan,CHITTORGARH,95,11,1584,282627,1556,98794,61036,119890,479,1355,281554,2
Rajasthan,CHURU,96,7,867,299562,850,168386,131223,1,0,0,299610,0
Rajasthan,DAUSA,97,11,1087,247064,1077,207958,38230,439,17,3,246647,6
Rajasthan,Deeg,767,5,657,165736,657,125109,27525,10987,317,921,164859,3
Rajasthan,DHOLPUR,98,6,797,165295,792,10725,136682,17694,11,38,165150,5
Rajasthan,Didwana-Kuchaman,768,7,784,301648,783,152572,141062,7190,5,12,300841,4
Rajasthan,DUNGARPUR,99,10,975,304603,972,45642,215570,40998,1663,271,304144,3
Rajasthan,GANGANAGAR,100,9,2809,325560,2802,62076,229021,29197,748,3727,324769,0
Rajasthan,HANUMANGARH,101,7,1814,315185,1814,2176,310635,1745,3,5,314564,6
Rajasthan,JAIPUR,102,19,1879,594881,1859,209323,380082,3136,1116,438,594095,0
Rajasthan,JAISALMER,103,6,688,134146,688,38975,92178,1511,57,1054,133775,6
Rajasthan,Jalore,104,10,792,362100,791,244724,116270,677,10,28,361709,2
Rajasthan,JHALAWAR,105,8,1470,264360,1466,32643,224074,8188,0,178,265083,6
Rajasthan,JHUNJHUNU,106,11,976,362083,974,271346,88657,728,91,869,361691,5
Rajasthan,JODHPUR,107,14,1188,376945,1169,224139,138993,7466,227,47,370872,1
Rajasthan,KARAULI,108,8,846,245153,844,131039,108680,913,1348,204,242184,0
Rajasthan,Khairthal-Tijara,770,4,570,162367,570,97340,21491,42251,208,805,162095,3
Rajasthan,KOTA,109,5,801,159789,780,17578,141713,170,6,4,159471,1
Rajasthan,Kotputli-Behror,782,6,573,214018,571,118602,94513,259,19,437,213830,3
Rajasthan,NAGAUR,110,8,827,360580,824,184978,169463,5631,19,33,360124,6
Rajasthan,PALI,111,8,774,303869,772,260307,41656,1641,0,63,303667,6
Rajasthan,Phalodi,772,8,729,158201,726,109775,46105,124,919,303,157226,2
Rajasthan,PRATAPGARH,629,8,969,201208,959,26709,138359,25577,3084,6482,200211,4
Rajasthan,RAJSAMAND,112,8,1053,242512,1049,58758,90104,81068,5217,5710,240857,5
Rajasthan,Salumbar,777,6,610,151103,607,15723,121162,12928,1195,22,151030,4
Rajasthan,SAWAI MADHOPUR,113,7,736,195861,726,147970,47061,352,0,228,195611,3
Rajasthan,SIKAR,114,12,1192,493570,1192,207779,284171,1084,54,305,493393,12
Rajasthan,SIROHI,115,5,466,195561,465,163324,22574,9122,57,32,195109,0
Rajasthan,TONK,116,7,1119,205432,1102,62615,94765,15728,31290,12,204410,0
Rajasthan,UDAIPUR,117,14,1878,491245,1878,124601,315570,33074,17104,1189,491538,11
